ACK_ID,FORM_PLAN_YEAR_BEGIN_DATE,FORM_TAX_PRD,TYPE_PLAN_ENTITY_CD,TYPE_DFE_PLAN_ENTITY_CD,INITIAL_FILING_IND,AMENDED_IND,FINAL_FILING_IND,SHORT_PLAN_YR_IND,COLLECTIVE_BARGAIN_IND,F5558_APPLICATION_FILED_IND,EXT_AUTOMATIC_IND,DFVC_PROGRAM_IND,EXT_SPECIAL_IND,EXT_SPECIAL_TEXT,PLAN_NAME,SPONS_DFE_PN,PLAN_EFF_DATE,SPONSOR_DFE_NAME,SPONS_DFE_DBA_NAME,SPONS_DFE_CARE_OF_NAME,SPONS_DFE_MAIL_US_ADDRESS1,SPONS_DFE_MAIL_US_ADDRESS2,SPONS_DFE_MAIL_US_CITY,SPONS_DFE_MAIL_US_STATE,SPONS_DFE_MAIL_US_ZIP,SPONS_DFE_MAIL_FOREIGN_ADDR1,SPONS_DFE_MAIL_FOREIGN_ADDR2,SPONS_DFE_MAIL_FOREIGN_CITY,SPONS_DFE_MAIL_FORGN_PROV_ST,SPONS_DFE_MAIL_FOREIGN_CNTRY,SPONS_DFE_MAIL_FORGN_POSTAL_CD,SPONS_DFE_LOC_US_ADDRESS1,SPONS_DFE_LOC_US_ADDRESS2,SPONS_DFE_LOC_US_CITY,SPONS_DFE_LOC_US_STATE,SPONS_DFE_LOC_US_ZIP,SPONS_DFE_LOC_FOREIGN_ADDRESS1,SPONS_DFE_LOC_FOREIGN_ADDRESS2,SPONS_DFE_LOC_FOREIGN_CITY,SPONS_DFE_LOC_FORGN_PROV_ST,SPONS_DFE_LOC_FOREIGN_CNTRY,SPONS_DFE_LOC_FORGN_POSTAL_CD,SPONS_DFE_EIN,SPONS_DFE_PHONE_NUM,BUSINESS_CODE,ADMIN_NAME,ADMIN_CARE_OF_NAME,ADMIN_US_ADDRESS1,ADMIN_US_ADDRESS2,ADMIN_US_CITY,ADMIN_US_STATE,ADMIN_US_ZIP,ADMIN_FOREIGN_ADDRESS1,ADMIN_FOREIGN_ADDRESS2,ADMIN_FOREIGN_CITY,ADMIN_FOREIGN_PROV_STATE,ADMIN_FOREIGN_CNTRY,ADMIN_FOREIGN_POSTAL_CD,ADMIN_EIN,ADMIN_PHONE_NUM,LAST_RPT_SPONS_NAME,LAST_RPT_SPONS_EIN,LAST_RPT_PLAN_NUM,ADMIN_SIGNED_DATE,ADMIN_SIGNED_NAME,SPONS_SIGNED_DATE,SPONS_SIGNED_NAME,DFE_SIGNED_DATE,DFE_SIGNED_NAME,TOT_PARTCP_BOY_CNT,TOT_ACTIVE_PARTCP_CNT,RTD_SEP_PARTCP_RCVG_CNT,RTD_SEP_PARTCP_FUT_CNT,SUBTL_ACT_RTD_SEP_CNT,BENEF_RCVG_BNFT_CNT,TOT_ACT_RTD_SEP_BENEF_CNT,PARTCP_ACCOUNT_BAL_CNT,SEP_PARTCP_PARTL_VSTD_CNT,CONTRIB_EMPLRS_CNT,TYPE_PENSION_BNFT_CODE,TYPE_WELFARE_BNFT_CODE,FUNDING_INSURANCE_IND,FUNDING_SEC412_IND,FUNDING_TRUST_IND,FUNDING_GEN_ASSET_IND,BENEFIT_INSURANCE_IND,BENEFIT_SEC412_IND,BENEFIT_TRUST_IND,BENEFIT_GEN_ASSET_IND,SCH_R_ATTACHED_IND,SCH_MB_ATTACHED_IND,SCH_SB_ATTACHED_IND,SCH_H_ATTACHED_IND,SCH_I_ATTACHED_IND,SCH_A_ATTACHED_IND,NUM_SCH_A_ATTACHED_CNT,SCH_C_ATTACHED_IND,SCH_D_ATTACHED_IND,SCH_G_ATTACHED_IND,FILING_STATUS,DATE_RECEIVED,VALID_ADMIN_SIGNATURE,VALID_DFE_SIGNATURE,VALID_SPONSOR_SIGNATURE,ADMIN_PHONE_NUM_FOREIGN,SPONS_DFE_PHONE_NUM_FOREIGN,ADMIN_NAME_SAME_SPON_IND,ADMIN_ADDRESS_SAME_SPON_IND,PREPARER_NAME,PREPARER_FIRM_NAME,PREPARER_US_ADDRESS1,PREPARER_US_ADDRESS2,PREPARER_US_CITY,PREPARER_US_STATE,PREPARER_US_ZIP,PREPARER_FOREIGN_ADDRESS1,PREPARER_FOREIGN_ADDRESS2,PREPARER_FOREIGN_CITY,PREPARER_FOREIGN_PROV_STATE,PREPARER_FOREIGN_CNTRY,PREPARER_FOREIGN_POSTAL_CD,PREPARER_PHONE_NUM,PREPARER_PHONE_NUM_FOREIGN,TOT_ACT_PARTCP_BOY_CNT,SUBJ_M1_FILING_REQ_IND,COMPLIANCE_M1_FILING_REQ_IND,M1_RECEIPT_CONFIRMATION_CODE,ADMIN_MANUAL_SIGNED_DATE,ADMIN_MANUAL_SIGNED_NAME,LAST_RPT_PLAN_NAME,SPONS_MANUAL_SIGNED_DATE,SPONS_MANUAL_SIGNED_NAME,DFE_MANUAL_SIGNED_DATE,DFE_MANUAL_SIGNED_NAME
20180221161428P040094915783001,2017-01-01,2017-12-31,2,,0,0,0,0,0,0,0,0,0,,MECHANICAL SOLUTIONS INC 401(K) PLAN,1,2008-01-01,"MECHANICAL SOLUTIONS, INC.",,,PO BOX 111648,,ANCHORAGE,AK,99511,,,,,,,2261 CINNABAR LOOP #B,,ANCHORAGE,AK,99507,,,,,,,260391445,9073349322,423700,,,,,,,,,,,,,,,,,,,2018-02-21T16:11:13-0600,ERNEST BELANGER III,,,,,5,4,0,1,5,0,5,5,0,,2A2E2F2G2J2K2R3D,,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,FILING_RECEIVED,2018-02-21,Filed with authorized/valid electronic signature,,,,,1,,,,,,,,,,,,,,,,,5,,,,,,,,,,
20180226154305P030104248711001,2017-01-01,2017-12-31,2,,0,0,0,0,0,0,0,0,0,,SPECIALTY INSURANCE AGENCY 401(K) PLAN,1,2014-01-01,SPECIALTY INSURANCE AGENCY,,,2076 170TH STREET,,NEW RICHMOND,WI,54017,,,,,,,,,,,,,,,,,,204394623,7152467489,524210,,,,,,,,,,,,,,,,,,,2018-02-26T15:41:26-0600,STEPHANIE WEISS,,,,,4,5,0,0,5,0,5,5,0,,2E2J2K2F2G3D2T3B,,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,FILING_RECEIVED,2018-02-26,Filed with authorized/valid electronic signature,,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,
20180223152851P040100051703001,2012-09-01,2012-12-31,2,,1,0,0,1,0,0,0,1,0,,HOOSIER PARK HEALTH & WELLNESS CENTER PLAN,525,2012-09-01,"NEW CENTAUR, LLC",,,10 W. MARKET ST.,SUITE 200,INDIANAPOLIS,IN,46204,,,,,,,,,,,,,,,,,,451272553,3176568787,713200,,,,,,,,,,,,,,,,,,,2018-02-23T15:20:34-0600,ROLAND LUCIANI,2018-02-23T15:20:34-0600,ROLAND LUCIANI,,,1100,987,0,0,987,,,,,,,4A,,,,1,,,,1,,,,,,,,,,,FILING_RECEIVED,2018-02-23,Filed with authorized/valid electronic signature,,Filed with authorized/valid electronic signature,,,1,,,,,,,,,,,,,,,,,1100,2,,,,,,,,,
20180108193032P030007418141001,2017-01-05,2017-07-31,2,,1,,1,1,,,,,,,"STEVEN KING ENTERPRISES, INC. RETIREMENT PLAN",1,2017-01-05,"STEVEN KING ENTERPRISES, INC.",,,4117 VICTORIA DRIVE,,HOFFMAN ESTATES,IL,60192,,,,,,,,,,,,,,,,,,814876480,8474142919,722511,,,,,,,,,,,,,,,,,,,2018-01-08T19:28:53-0600,STEVEN M. KING,,,,,1,0,0,0,0,0,0,0,0,,2E2G2R3D,,,,1,,,,1,,1,,,,1,,,,,,FILING_RECEIVED,2018-01-08,Filed with authorized/valid electronic signature,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
20180223155155P040100114071001,2017-01-01,2017-12-31,2,,0,0,0,0,0,0,0,0,0,,TRINITAS ANESTHESIA ASSOCIATES CASH BALANCE PLAN,2,2008-01-01,"TRINITAS ANESTHESIA ASSOCIATES, LLC",,,PO BOX 527,,UNION,NJ,7083,,,,,,,,,,,,,,,,,,113668701,9089945204,621111,,,,,,,,,,,,,,,,,,,2018-02-23T15:50:56-0600,LEON PIRAK,,,,,15,13,0,2,15,1,16,,0,,1B1C3B,,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,FILING_RECEIVED,2018-02-23,Filed with authorized/valid electronic signature,,,,,1,,,,,,,,,,,,,,,,,13,,,,,,,,,,
20180223174218P040100378663001,2008-01-01,2008-12-31,2,,0,0,0,0,0,0,0,1,0,,MANN PACKING COMPANY MEDICAL BENEFIT PLAN,504,2007-01-01,"MANN PACKING CO., INC.",,,1250 HANSEN ST,,SALINAS,CA,939014552,,,,,,,1250 HANSEN ST,,SALINAS,CA,939014552,,,,,,,942176045,8314227405,331400,,,,,,,,,,,,,,,,,,,2018-02-23T17:09:24-0600,JEFFREY COOK,2018-02-23T17:09:25-0600,JEFFREY COOK,,,141,151,0,,151,,151,,,,,4A,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,0,0,0,FILING_RECEIVED,2018-02-23,Filed with authorized/valid electronic signature,,Filed with authorized/valid electronic signature,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,
20180131173729P040059020727001,2011-07-01,2012-06-30,2,,0,0,0,0,0,0,0,1,0,,"METHODIST HOSPITAL, INC. 403(B) PLAN",6,1975-07-01,METHODIST HOSPITAL,,,1305 NORTH ELM STREET,,HENDERSON,KY,42420,,,,,,,,,,,,,,,,,,610461753,2708277293,622000,,,,,,,,,,,,,,,,,,,2018-01-31T17:37:07-0600,TY KAHLE,,,,,1466,1062,0,387,1449,,1449,1018,,,2L2M2F,,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,FILING_RECEIVED,2018-01-31,Filed with authorized/valid electronic signature,,,,,1,,,,,,,,,,,,,,,,,1109,,,,,,,,,,
20180222074821P040067855661001,2017-05-01,2018-01-31,2,,,,1,1,,,,,,,JAMIE WHITE GOLF PERFORMANCE CO. RETIREMENT PLAN,1,2016-05-27,JAMIE WHITE GOLF PERFORMANCE CO.,,,17570 W 94TH DR.,,WESTMINSTER,CO,80031,,,,,,,,,,,,,,,,,,812780207,7203389730,611000,,,,,,,,,,,,,,,,,,,2018-02-22T07:46:28-0600,JAMIE WHITE,,,,,1,0,0,0,0,0,0,0,0,,2E2G2R3D,,,,1,,,,1,,,,,,1,,,,,,FILING_RECEIVED,2018-02-22,Filed with authorized/valid electronic signature,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
20180222082750P030096736775001,2017-01-01,2017-12-31,2,,0,0,0,0,0,0,0,0,0,,"MYERS PLUMBING & HEATING, INC. DEFERRED COMPENSATION PLAN",1,2001-01-01,"MYERS PLUMBING & HEATING, INC.",,,8580 W. EATON HWY.,,GRAND LEDGE,MI,48837,,,,,,,,,,,,,,,,,,383091409,5178862555,238220,,,,,,,,,,,,,,,,,,,2018-02-22T07:46:28-0600,,,,,,13,10,0,2,12,0,12,12,0,,2E2F2G2J2K3D,,0,0,1,0,0,0,1,0,1,0,0,0,1,0,,0,0,0,FILING_RECEIVED,2018-02-22,,,,,,1,,,,,,,,,,,,,,,,,13,,,,2018-02-21T11:00:00-0600,KIRK MYERS,,,,,
20180226124910P030072168125001,2017-01-01,2017-10-10,2,,0,0,1,1,0,0,0,0,0,,"HEALTHY BENEFITS VENDING, INC. 401(K) PLAN",1,2016-02-12,"HEALTHY BENEFITS VENDING, INC.",,,50 SOUTH SUMMER CLOUD DRIVE,,THE WOODLANDS,TX,77381,,,,,,,,,,,,,,,,,,811470062,2816201400,454210,,,,,,,,,,,,,,,,,,,2018-02-26T12:48:34-0600,KENNETH MENSIO,2018-02-26T12:48:34-0600,KENNETH MENSIO,,,1,0,0,0,0,0,0,0,0,,2E2F2G2J2K3D3H,,0,0,1,0,0,0,1,0,1,0,0,0,1,0,,0,0,0,FILING_RECEIVED,2018-02-26,Filed with authorized/valid electronic signature,,Filed with authorized/valid electronic signature,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
